Confirmed,Deaths,Recovered,Active
189033,9385,23887.0,179648.0
195749,10058,23887.0,185691.0
203020,10842,23887.0,192178.0
214454,11617,23887.0,202837.0
223691,14832,23887.0,208859.0
230597,17131,23887.0,213466.0
241712,17671,23887.0,224041.0
247815,18298,23887.0,229517.0
253060,18611,23887.0,234449.0
258361,19104,23887.0,239257.0
263292,19413,23887.0,243879.0
263460,20973,23887.0,242487.0
271590,21411,23887.0,250179.0
282143,22009,23887.0,260134.0
288045,22269,23887.0,265776.0
291996,22668,23887.0,269328.0
295106,22912,51630.0,272194.0
299691,23477,53238.0,276214.0
304372,23587,54771.0,226014.0
308314,24039,56187.0,228088.0
312977,24198,57540.0,231239.0
316415,24708,58950.0,232757.0
318953,24999,58950.0,235004.0
321192,25124,58950.0,237118.0
323978,25623,54597.0,243758.0
327469,26144,55547.0,245778.0
330407,26243,56378.0,247786.0
333122,26612,57180.0,249330.0
335395,26641,58006.0,250748.0
337055,26988,58363.0,251704.0
338485,27284,58679.0,252522.0
340661,27477,59193.0,253991.0
343051,27641,59758.0,255652.0
345813,27878,60302.0,257633.0
348232,28049,60796.0,259387.0
350121,28232,61381.0,260508.0
351371,28339,61681.0,261351.0
352845,28558,61886.0,262401.0
354370,28636,61886.0,263848.0
356458,28743,62826.0,264889.0
358154,28853,63292.0,266009.0
359926,29031,63292.0,267603.0
361515,29141,64080.0,268294.0
362764,29229,64280.0,269255.0
363836,29302,64443.0,270091.0
364965,29484,64632.0,270849.0
366733,29529,64954.0,272250.0
368284,29646,65289.0,273349.0
369660,29710,65609.0,274341.0
370770,29784,65934.0,275052.0
371711,29917,66110.0,275684.0
373040,29968,66262.0,276810.0
374085,30019,66502.0,277564.0
375133,30174,66756.0,278203.0
376208,30236,66992.0,278980.0
377316,30280,67261.0,279775.0
378097,30374,67544.0,280179.0
378799,30417,67687.0,280695.0
379482,30458,67808.0,281216.0
380156,30542,68019.0,281595.0
380892,30580,68211.0,282101.0
381714,30758,68399.0,282557.0
382630,30795,68584.0,283251.0
383324,30825,68761.0,283738.0
383944,30856,68851.0,284237.0
384575,30909,68938.0,284728.0
385142,30939,69085.0,285118.0
385760,30974,69243.0,285543.0
386556,31015,69377.0,286164.0
387272,31083,69506.0,286683.0
387936,31125,69506.0,287305.0
388488,31176,69710.0,287602.0
389085,31232,69710.0,288143.0
389666,31257,69710.0,288699.0
390415,31301,70010.0,289104.0
391220,31342,70010.0,289868.0
391923,31368,70010.0,290545.0
392539,31397,70010.0,291132.0
393403,31403,70435.0,291565.0
393454,32032,70487.0,290935.0
394079,32043,70590.0,291446.0
394954,32064,70698.0,292192.0
395872,32137,70794.0,292941.0
396598,32157,70877.0,293564.0
397131,32206,70968.0,293957.0
397649,32219,71040.0,294390.0
398237,32243,71091.0,294903.0
398929,32251,71185.0,295493.0
399513,32283,71279.0,295951.0
400299,32331,71371.0,296597.0
401029,32343,71477.0,297209.0
401706,32350,71565.0,297791.0
402263,32395,71643.0,298225.0
403175,32408,71692.0,299075.0
404006,32427,71782.0,299797.0
404775,32446,71867.0,300462.0
405551,32463,71970.0,301118.0
406305,32478,72064.0,301763.0
406807,32495,72161.0,302151.0
407326,32506,72229.0,302591.0
408181,32520,72302.0,303359.0
408886,32558,72386.0,303942.0
409697,32594,72466.0,304637.0
410450,32596,72552.0,305302.0
411200,32608,72632.0,305960.0
411736,32630,72716.0,306390.0
412344,32645,72766.0,306933.0
412878,32653,72813.0,307412.0
413593,32658,72900.0,308035.0
414370,32683,72973.0,308714.0
415014,32689,73055.0,309270.0
415767,32694,73134.0,309939.0
416298,32710,73222.0,310366.0
416843,32719,73279.0,310845.0
417589,32725,73326.0,311538.0
418225,32754,73410.0,312061.0
418928,32756,73472.0,312700.0
419642,32760,73530.0,313352.0
420345,32768,73609.0,313968.0
420860,32774,73689.0,314397.0
421336,32781,73736.0,314819.0
422003,32787,73779.0,315437.0
422703,32797,73842.0,316064.0
423440,32805,73907.0,316728.0
424167,32827,73997.0,317343.0
